city,country,latitude,longitude
Yarmouth,CAN,43.833,-66.116
Geneva,CHE,46.202,6.146
Havana,CUB,23.133,-82.383
Prague,CZE,50.088,14.421
Punta Cana,DOM,18.582,-68.404
Barcelona,ESP,41.389,2.159
Grenoble,FRA,45.167,5.717
Paris,FRA,48.853,2.349
Birmingham,GBR,52.481,-1.9
Brighton,GBR,50.828,-0.139
Bugbrooke,GBR,52.21,-1.013
Edinburgh,GBR,55.952,-3.196
Ely,GBR,52.4,0.262
Glasgow,GBR,55.865,-4.258
Lancaster,GBR,54.046,-2.8
Liverpool,GBR,53.411,-2.978
London,GBR,51.509,-0.126
Manchester,GBR,53.481,-2.237
Oxford,GBR,51.752,-1.256
Shoreham-by-Sea,GBR,50.834,-0.274
Stirling,GBR,56.119,-3.937
York,GBR,53.958,-1.083
Agra,IND,27.183,78.017
Delhi,IND,28.652,77.231
Fatehpur Sikri,IND,27.094,77.66
Jaipur,IND,26.92,75.788
Pune,IND,18.52,73.855
Dublin,IRL,53.33306,-6.24889
Galway,IRL,53.2877,-9.05004
Tralee,IRL,52.27042,-9.70264
Reykjavik,ISL,64.135,-21.895
Annaka,JPN,36.31667,138.9
Hiroshima,JPN,35.02107,132.45937
Kyoto,JPN,35.02107,135.75385
Nara,JPN,34.68505,135.80485
Osaka,JPN,34.69374,135.50218
Takasaki,JPN,36.3410271,138.88578
Tokyo,JPN,35.6895,139.69171
Amsterdam,NLD,52.374,4.89
Auckland,NZL,-36.85347,174.7646
Christchurch,NZL,-43.5333,172.63333
Devonport,NZL,-36.82966,174.7965
Doubtful Sound,NZL,-45.45839,167.15005
Franz Josef,NZL,-43.38896,170.18096
Hahei,NZL,-36.83982,175.8041
Hanmer Springs,NZL,-42.52179,172.82936
Hokitika,NZL,-42.747,170.9539
Hooker Valley,NZL,-43.709776,170.089417
Kaikoura,NZL,-42.40037,173.67942
Lake Tekapo,NZL,-44.00371,170.47754
Matamata,NZL,-37.80952,175.77228
Queenstown,NZL,-45.03172,168.65987
Rotorua,NZL,-38.13815,176.25198
Taupo,NZL,-38.69,176.078
Twizel,NZL,-44.25748,170.09848
Waiheke Island,NZL,-36.8,175.1
Wellington,NZL,-41.28875,174.77627
Ayutthaya,THA,14.35167,100.57739
Bangkok,THA,13.75398,100.50144
Chiang Mai,THA,18.79038,98.98468
Kanchanaburi,THA,14.00412,99.54832
Addison,USA,32.962,-96.829
Anaheim,USA,33.835,-117.915
Ann Arbor,USA,42.278,-83.741
Atlanta,USA,33.749,-84.388
Atlantic City,USA,39.364,-74.423
Austin,USA,30.267,-97.743
Boise,USA,43.6177,-116.1996
Charlottesville,USA,38.029,-78.477
Chicago,USA,41.85,-87.65
Cleveland,USA,41.499,-81.695
Everett,USA,47.97898,-122.20208
Langley,USA,48.04,-122.406
Las Vegas,USA,36.175,-115.137
Los Angeles,USA,34.052,-118.244
Mammoth Lakes,USA,37.649,-118.972
Meridian,USA,43.612,-116.392
Montclair,USA,40.826,-74.211
Monterey,USA,36.6,-121.895
Mountain View,USA,37.386,-122.084
New Haven,USA,41.31121,-72.92649
New York,USA,40.714,-74.006
Palo Alto,USA,37.42716,-122.17024
Pittsburgh,USA,40.441,-79.996
Portland,USA,45.523,-122.676
Raleigh,USA,35.772,-78.639
Redmond,USA,47.674,-122.122
Rosemont,USA,41.995,-87.885
Roseville,USA,38.752,-121.288
San Francisco,USA,37.775,-122.419
Santa Clara,USA,37.354,-121.955
Seattle,USA,47.606,-122.332
Union City,USA,40.78,-74.024
"Washington, D.C.",USA,38.895,-77.036
Yosemite Valley,USA,37.741,-119.578
Pender Island,CAN,48.7792,-123.28042
